id,first_name,last_name,email,mbti,self identified gender,matching gender preferences
100000,Dakota,Whitney,example100000@scrippscollege.edu,ENFJ,women,men
100001,Armando,Cline,example100001@students.claremontmckenna.edu,,women,men
100002,Joe,Donaldson,example100002@scrippscollege.edu,ENFP,men,non-binary
100003,Jacoby,Nolan,example100003@students.pitzer.edu,ENFJ,"men, women, non-binary","women, non-binary"
100004,Braelyn,Fry,example100004@students.pitzer.edu,INTP,men,women
100005,Avalynn,Villegas,example100005@students.pitzer.edu,,women,men
100006,Aubrey,Cantrell,example100006@hmc.edu,ESFJ,men,women
100007,Aisha,Mahoney,example100007@hmc.edu,ESTJ,women,men
100008,Aidan,Hawkins,example100008@mymail.pomona.edu,ISFP,men,women
100009,Poppy,Patrick,example100009@students.pitzer.edu,INFJ,women,men
100010,Nora,Wilson,example100010@mymail.pomona.edu,ENTP,women,men
100011,Anya,Elliott,example100011@hmc.edu,ENFJ,men,women
100012,Vicente,Griffin,example100012@hmc.edu,INFJ,women,non-binary
100013,Antonio,Corona,example100013@mymail.pomona.edu,ESTJ,non-binary,"men, non-binary"
100014,Kayson,Lawson,example100014@scrippscollege.edu,ESFP,men,women
100015,Winter,Martin,example100015@hmc.edu,ESFJ,"men, non-binary","men, women"
100016,Emma,Hudson,example100016@mymail.pomona.edu,ISTP,men,women
100017,Amelie,Dawson,example100017@scrippscollege.edu,ENFJ,women,men
100018,Emilio,Wyatt,example100018@students.pitzer.edu,INTP,"men, non-binary","men, women, non-binary"
100019,Vanessa,Sharp,example100019@scrippscollege.edu,INTJ,women,women
100020,Harold,Grant,example100020@mymail.pomona.edu,INFP,women,men
100021,Gemma,Andersen,example100021@mymail.pomona.edu,ENTP,men,women
100022,Aries,King,example100022@students.pitzer.edu,INTJ,men,women
100023,Lola,Kline,example100023@students.claremontmckenna.edu,ESTP,men,women
100024,Colter,Bradshaw,example100024@mymail.pomona.edu,ESTJ,men,women
100025,Alonzo,Hodges,example100025@scrippscollege.edu,,non-binary,women
100026,Charley,Wilkinson,example100026@students.pitzer.edu,ESTJ,men,women
100027,Leonidas,Jennings,example100027@hmc.edu,INTJ,men,women
100028,Nia,Avery,example100028@mymail.pomona.edu,INTP,women,men
100029,Camilla,Hansen,example100029@students.claremontmckenna.edu,,men,women
100030,Amaia,Ross,example100030@hmc.edu,INFJ,women,men
100031,Anya,Sellers,example100031@hmc.edu,ESTJ,women,men
100032,Brennan,Hayden,example100032@students.claremontmckenna.edu,ENTJ,men,women
100033,Kane,Davidson,example100033@scrippscollege.edu,ENTP,non-binary,women
100034,Kamila,Johnson,example100034@scrippscollege.edu,ISTJ,non-binary,non-binary
100035,Lucca,French,example100035@mymail.pomona.edu,ISFP,men,women
100036,Aspen,Mahoney,example100036@students.pitzer.edu,ISTJ,men,"men, non-binary"
100037,Azariah,Martinez,example100037@scrippscollege.edu,ENFP,non-binary,men
100038,Emmalyn,Le,example100038@mymail.pomona.edu,,"men, women, non-binary","men, women"
100039,Karen,Daniels,example100039@students.claremontmckenna.edu,,men,women
100040,Alina,Yates,example100040@hmc.edu,ISFP,non-binary,men
100041,Mohammad,Davidson,example100041@students.claremontmckenna.edu,INFJ,men,men
100042,Anastasia,Poole,example100042@students.claremontmckenna.edu,ENTP,men,women
100043,Theo,Hall,example100043@hmc.edu,ENTP,men,women
100044,Kailani,Dorsey,example100044@mymail.pomona.edu,ENTJ,women,men
100045,London,Zavala,example100045@hmc.edu,INTJ,women,men
100046,David,Meyers,example100046@hmc.edu,ESFJ,women,non-binary
100047,Azalea,Frederick,example100047@students.claremontmckenna.edu,ESFP,non-binary,"women, non-binary"
100048,Collins,Corona,example100048@mymail.pomona.edu,ESFJ,"men, non-binary","women, non-binary"
100049,Renata,Aguirre,example100049@scrippscollege.edu,INTJ,men,"men, women"
100050,Rayna,Huynh,example100050@hmc.edu,ENFJ,women,men
100051,Ellianna,Nash,example100051@students.pitzer.edu,INTJ,men,women
100052,Raylan,Waller,example100052@students.pitzer.edu,ESFJ,non-binary,"men, women, non-binary"
100053,Anthony,Vasquez,example100053@scrippscollege.edu,INFP,women,men
100054,Davina,Arnold,example100054@hmc.edu,ISFJ,men,women
100055,Loretta,Macias,example100055@scrippscollege.edu,ESTP,women,men
100056,Adley,Duke,example100056@students.pitzer.edu,ISTJ,women,women
100057,Elaine,Zuniga,example100057@hmc.edu,ISFJ,"men, non-binary","men, women, non-binary"
100058,Evangeline,Wolf,example100058@mymail.pomona.edu,ENTJ,women,"men, non-binary"
100059,Sydney,Hicks,example100059@students.claremontmckenna.edu,ESFP,women,non-binary
100060,Abraham,Bates,example100060@students.claremontmckenna.edu,ESTJ,women,"men, non-binary"
100061,Lane,Cardenas,example100061@mymail.pomona.edu,INFP,men,women
100062,Johanna,Cisneros,example100062@hmc.edu,ENTJ,women,men
100063,Nixon,Lam,example100063@mymail.pomona.edu,INTJ,men,women
100064,Amalia,Singleton,example100064@mymail.pomona.edu,ISFJ,women,men
100065,Jagger,Pratt,example100065@students.pitzer.edu,ISTJ,men,"men, non-binary"
100066,Andy,Solomon,example100066@hmc.edu,ISTJ,non-binary,women
100067,Avayah,Barber,example100067@hmc.edu,ENFJ,women,men
100068,Noah,Mann,example100068@students.pitzer.edu,ENTP,"men, non-binary","men, women, non-binary"
100069,Warren,Lyons,example100069@students.claremontmckenna.edu,ENFJ,men,women
100070,Johnny,Nunez,example100070@mymail.pomona.edu,ISFJ,men,women
100071,Lucy,O’Connor,example100071@mymail.pomona.edu,ENTJ,men,women
100072,Lucy,Harding,example100072@hmc.edu,,"men, non-binary",non-binary
100073,Aries,Christian,example100073@students.claremontmckenna.edu,ISFP,men,women
100074,Alden,McClure,example100074@students.pitzer.edu,ESTP,women,"women, non-binary"
